scene_id,cloudy,clear,split
R134_T44WPA_203,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R134_T44WPA\203.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R134_T44WPA\203.tif,train
R108_T30QXD_326,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R108_T30QXD\326.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R108_T30QXD\326.tif,train
R121_T34JCM_751,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R121_T34JCM\751.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R121_T34JCM\751.tif,train
R078_T37TDE_441,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R078_T37TDE\441.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R078_T37TDE\441.tif,train
R034_T42TWL_228,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R034_T42TWL\228.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R034_T42TWL\228.tif,train
R070_T12WXS_499,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R070_T12WXS\499.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R070_T12WXS\499.tif,train
R065_T33VWC_113,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R065_T33VWC\113.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R065_T33VWC\113.tif,train
R056_T10UFB_533,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\533.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\533.tif,train
R096_T19KES_619,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R096_T19KES\619.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R096_T19KES\619.tif,train
R056_T10UFB_342,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\342.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\342.tif,train
R116_T55HBC_779,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HBC\779.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HBC\779.tif,train
R078_T37TDE_52,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R078_T37TDE\52.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R078_T37TDE\52.tif,train
R119_T46VDH_746,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R119_T46VDH\746.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R119_T46VDH\746.tif,train
R116_T55HCC_303,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HCC\303.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HCC\303.tif,train
R116_T55HBC_222,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HBC\222.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HBC\222.tif,train
R135_T36MWA_88,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R135_T36MWA\88.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R135_T36MWA\88.tif,train
R010_T18FYK_542,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R010_T18FYK\542.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R010_T18FYK\542.tif,train
R065_T32TNT_87,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R065_T32TNT\87.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R065_T32TNT\87.tif,train
R058_T03WXS_268,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R058_T03WXS\268.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R058_T03WXS\268.tif,train
R133_T48VWP_357,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R133_T48VWP\357.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R133_T48VWP\357.tif,train
R055_T13SGT_578,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R055_T13SGT\578.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R055_T13SGT\578.tif,train
R116_T55HCC_348,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HCC\348.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HCC\348.tif,train
R056_T10UFB_773,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\773.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\773.tif,train
R136_T33QVC_323,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R136_T33QVC\323.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R136_T33QVC\323.tif,train
R034_T42TWL_283,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R034_T42TWL\283.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R034_T42TWL\283.tif,train
R008_T30RYV_234,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R008_T30RYV\234.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R008_T30RYV\234.tif,train
R018_T48RXT_124,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R018_T48RXT\124.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R018_T48RXT\124.tif,train
R060_T53UMP_546,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R060_T53UMP\546.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R060_T53UMP\546.tif,train
R078_T37TDE_221,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R078_T37TDE\221.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R078_T37TDE\221.tif,train
R003_T52SCF_414,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R003_T52SCF\414.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R003_T52SCF\414.tif,train
R092_T37PFR_12,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R092_T37PFR\12.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R092_T37PFR\12.tif,train
R137_T30STJ_603,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R137_T30STJ\603.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R137_T30STJ\603.tif,train
R069_T14QMG_161,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R069_T14QMG\161.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R069_T14QMG\161.tif,train
R121_T34JCM_446,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R121_T34JCM\446.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R121_T34JCM\446.tif,train
R075_T50TMK_676,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R075_T50TMK\676.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R075_T50TMK\676.tif,train
R121_T34JCM_106,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R121_T34JCM\106.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R121_T34JCM\106.tif,train
R022_T32RLR_401,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R022_T32RLR\401.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R022_T32RLR\401.tif,train
R018_T49TFJ_650,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R018_T49TFJ\650.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R018_T49TFJ\650.tif,train
R116_T55HBC_201,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HBC\201.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HBC\201.tif,train
R124_T22LDP_685,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R124_T22LDP\685.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R124_T22LDP\685.tif,train
R046_T54WWC_54,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R046_T54WWC\54.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R046_T54WWC\54.tif,train
R075_T50TMK_462,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R075_T50TMK\462.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R075_T50TMK\462.tif,train
R065_T32TNT_194,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R065_T32TNT\194.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R065_T32TNT\194.tif,train
R049_T38QNL_17,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R049_T38QNL\17.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R049_T38QNL\17.tif,train
R049_T38QNL_353,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R049_T38QNL\353.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R049_T38QNL\353.tif,train
R032_T49QGF_13,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R032_T49QGF\13.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R032_T49QGF\13.tif,train
R092_T37PFR_163,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R092_T37PFR\163.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R092_T37PFR\163.tif,train
R092_T37PFR_136,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R092_T37PFR\136.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R092_T37PFR\136.tif,train
R055_T13SGT_698,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R055_T13SGT\698.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R055_T13SGT\698.tif,train
R136_T33QVC_260,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R136_T33QVC\260.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R136_T33QVC\260.tif,train
R005_T48XWK_608,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R005_T48XWK\608.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R005_T48XWK\608.tif,train
R051_T31TDM_184,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R051_T31TDM\184.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R051_T31TDM\184.tif,train
R116_T55HCC_547,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HCC\547.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HCC\547.tif,train
R110_T20KQB_393,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R110_T20KQB\393.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R110_T20KQB\393.tif,train
R073_T55KGP_444,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R073_T55KGP\444.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R073_T55KGP\444.tif,train
R137_T29SPS_110,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R137_T29SPS\110.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R137_T29SPS\110.tif,train
R003_T52SCF_7,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R003_T52SCF\7.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R003_T52SCF\7.tif,train
R018_T49TFJ_735,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R018_T49TFJ\735.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R018_T49TFJ\735.tif,train
R019_T43PGQ_657,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R019_T43PGQ\657.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R019_T43PGQ\657.tif,train
R065_T33VWC_87,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R065_T33VWC\87.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R065_T33VWC\87.tif,train
R056_T10UFB_391,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\391.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\391.tif,train
R055_T13SGT_631,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R055_T13SGT\631.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R055_T13SGT\631.tif,train
R108_T31SEA_212,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R108_T31SEA\212.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R108_T31SEA\212.tif,train
R116_T55HBC_227,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HBC\227.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HBC\227.tif,train
R003_T52SCF_540,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R003_T52SCF\540.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R003_T52SCF\540.tif,train
R116_T55HCC_455,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HCC\455.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HCC\455.tif,train
R055_T13SGT_644,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R055_T13SGT\644.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R055_T13SGT\644.tif,train
R121_T36QTD_525,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R121_T36QTD\525.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R121_T36QTD\525.tif,train
R051_T30SXJ_245,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R051_T30SXJ\245.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R051_T30SXJ\245.tif,train
R073_T55KGP_450,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R073_T55KGP\450.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R073_T55KGP\450.tif,train
R008_T30RYV_765,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R008_T30RYV\765.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R008_T30RYV\765.tif,train
R018_T48RXT_316,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R018_T48RXT\316.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R018_T48RXT\316.tif,train
R018_T49TFJ_126,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R018_T49TFJ\126.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R018_T49TFJ\126.tif,train
R049_T38QNL_299,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R049_T38QNL\299.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R049_T38QNL\299.tif,train
R118_T48PXU_338,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R118_T48PXU\338.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R118_T48PXU\338.tif,train
